Fecha;Indicador_600;Indicador_612;Indicador_613;Indicador_614;Indicador_1727
2023-01-08 20:00:00+00:00;98.65;20.0;25.55;25.55;20.77
2023-01-08 21:00:00+00:00;99.38;7.88;14.09;10.97;5.14
2023-01-08 22:00:00+00:00;81.34;7.88;10.7;7.1;1.47
2023-01-08 23:00:00+00:00;75.13;5.1;7.1;2.6;4.3
2023-01-09 00:00:00+00:00;64.38;4.2;4.16;0.0;3.66
2023-01-09 01:00:00+00:00;60.28;2.0;4.16;0.0;3.4
2023-01-09 02:00:00+00:00;39.41;2.0;4.16;0.0;2.92
2023-01-09 03:00:00+00:00;43.12;4.6;4.6;0.0;1.74
2023-01-09 04:00:00+00:00;69.07;5.5;7.5;1.5;5.09
2023-01-09 05:00:00+00:00;107.13;64.2;44.6;22.61;28.46
2023-01-09 06:00:00+00:00;160.0;80.0;90.0;90.0;88.63
2023-01-09 07:00:00+00:00;180.0;118.0;128.0;119.75;125.68
2023-01-09 08:00:00+00:00;177.16;121.16;131.16;131.16;128.12
2023-01-09 09:00:00+00:00;159.13;119.58;129.58;119.58;125.11
2023-01-09 10:00:00+00:00;160.78;115.0;125.0;115.0;115.5
2023-01-09 11:00:00+00:00;141.0;106.0;111.0;106.0;110.81
2023-01-09 12:00:00+00:00;142.07;91.84;95.84;91.84;95.44
2023-01-09 13:00:00+00:00;138.97;81.28;85.28;82.6;69.16
2023-01-09 14:00:00+00:00;151.23;72.32;76.32;72.32;64.65
2023-01-09 15:00:00+00:00;162.04;99.1;100.1;99.1;99.19
2023-01-09 16:00:00+00:00;174.27;130.26;130.26;115.26;118.23
2023-01-09 17:00:00+00:00;182.18;160.5;161.5;161.5;164.92
2023-01-09 18:00:00+00:00;170.24;171.62;171.62;171.62;180.2
2023-01-09 19:00:00+00:00;160.51;161.21;161.21;161.21;163.61
2023-01-09 20:00:00+00:00;138.93;139.16;134.17;134.16;147.47
2023-01-09 21:00:00+00:00;132.0;132.0;128.01;128.01;137.13
2023-01-09 22:00:00+00:00;108.31;107.34;106.34;111.34;99.96
2023-01-09 23:00:00+00:00;106.01;95.98;97.9;94.8;115.1
2023-01-10 00:00:00+00:00;96.72;95.0;90.8;85.47;103.65
2023-01-10 01:00:00+00:00;95.15;95.31;94.8;94.6;98.01
2023-01-10 02:00:00+00:00;90.33;90.19;82.2;75.0;96.99
2023-01-10 03:00:00+00:00;95.61;92.0;87.59;85.0;87.4
2023-01-10 04:00:00+00:00;108.6;94.8;91.95;85.0;92.12
2023-01-10 05:00:00+00:00;138.13;104.23;97.9;94.8;99.25
2023-01-10 06:00:00+00:00;156.0;126.67;105.59;126.46;120.83
2023-01-10 07:00:00+00:00;220.0;138.83;140.0;146.84;148.42
2023-01-10 08:00:00+00:00;222.0;139.65;141.44;146.9;142.27
2023-01-10 09:00:00+00:00;163.52;124.44;120.78;128.8;124.98
2023-01-10 10:00:00+00:00;147.6;101.0;99.0;111.01;104.58
2023-01-10 11:00:00+00:00;141.25;97.6;100.6;107.6;96.66
2023-01-10 12:00:00+00:00;141.68;95.5;98.5;103.05;84.62
2023-01-10 13:00:00+00:00;145.41;92.6;95.6;98.11;86.35
2023-01-10 14:00:00+00:00;145.92;92.01;95.0;92.24;86.24
2023-01-10 15:00:00+00:00;140.11;98.0;101.0;103.0;81.18
2023-01-10 16:00:00+00:00;147.9;133.28;133.28;130.69;96.98
2023-01-10 17:00:00+00:00;144.74;144.74;144.74;145.86;117.98
2023-01-10 18:00:00+00:00;130.1;141.07;140.07;141.07;132.68
2023-01-10 19:00:00+00:00;122.81;124.84;120.4;122.2;108.47
2023-01-10 20:00:00+00:00;101.9;109.65;106.0;110.84;84.6
2023-01-10 21:00:00+00:00;82.0;93.79;89.0;92.8;77.08
2023-01-10 22:00:00+00:00;42.96;70.24;75.74;81.24;44.52
2023-01-10 23:00:00+00:00;5.0;35.0;35.0;35.0;20.69
2023-01-11 00:00:00+00:00;0.0;7.6;7.28;50.0;17.17
2023-01-11 01:00:00+00:00;-0.33;2.0;2.16;7.5;5.7
2023-01-11 02:00:00+00:00;-0.23;2.0;2.0;4.16;4.49
2023-01-11 03:00:00+00:00;0.0;2.04;1.46;4.16;5.08
2023-01-11 04:00:00+00:00;2.59;5.53;5.53;14.0;7.45
2023-01-11 05:00:00+00:00;57.31;69.37;67.27;84.37;64.83
2023-01-11 06:00:00+00:00;91.11;99.94;89.0;91.99;107.09
2023-01-11 07:00:00+00:00;163.58;140.0;139.02;144.02;141.14
2023-01-11 08:00:00+00:00;155.6;139.17;138.67;138.67;136.87
2023-01-11 09:00:00+00:00;131.78;130.0;120.0;113.57;116.47
2023-01-11 10:00:00+00:00;130.6;107.32;97.35;92.36;104.11
2023-01-11 11:00:00+00:00;117.82;98.95;93.86;90.98;95.9
2023-01-11 12:00:00+00:00;110.54;89.76;80.53;80.42;80.67
2023-01-11 13:00:00+00:00;115.74;71.01;70.91;66.02;76.71
2023-01-11 14:00:00+00:00;118.83;67.87;62.87;61.87;69.59
2023-01-11 15:00:00+00:00;120.81;91.95;85.11;84.15;89.54
2023-01-11 16:00:00+00:00;133.79;134.5;127.0;119.0;117.3
2023-01-11 17:00:00+00:00;133.87;135.05;134.95;130.0;126.93
2023-01-11 18:00:00+00:00;129.9;131.96;129.56;120.27;121.47
2023-01-11 19:00:00+00:00;118.53;136.65;133.6;121.66;127.67
2023-01-11 20:00:00+00:00;94.87;135.07;132.27;128.32;110.8
2023-01-11 21:00:00+00:00;92.03;115.16;102.28;98.73;89.04
2023-01-11 22:00:00+00:00;69.23;93.08;83.08;80.0;61.19
2023-01-11 23:00:00+00:00;21.74;69.5;46.5;46.5;37.69
2023-01-12 00:00:00+00:00;5.92;56.6;46.1;46.1;31.61
2023-01-12 01:00:00+00:00;5.66;56.0;44.3;46.48;45.06
2023-01-12 02:00:00+00:00;0.1;56.0;44.1;44.1;42.53
2023-01-12 03:00:00+00:00;2.73;55.7;44.1;46.1;39.09
2023-01-12 04:00:00+00:00;25.55;56.6;46.1;52.09;43.66
2023-01-12 05:00:00+00:00;85.72;86.02;68.62;70.05;80.82
2023-01-12 06:00:00+00:00;115.35;115.76;90.5;103.91;107.47
2023-01-12 07:00:00+00:00;138.6;119.1;108.65;109.25;119.73
2023-01-12 08:00:00+00:00;156.6;115.0;96.55;103.0;112.83
2023-01-12 09:00:00+00:00;110.0;98.0;91.4;99.06;102.82
2023-01-12 10:00:00+00:00;111.92;94.0;82.35;95.32;98.08
2023-01-12 11:00:00+00:00;106.7;85.67;78.67;85.67;81.95
2023-01-12 12:00:00+00:00;102.87;81.59;56.59;73.34;82.28
2023-01-12 13:00:00+00:00;110.24;70.18;55.07;55.84;78.33
2023-01-12 14:00:00+00:00;108.66;69.76;55.07;55.07;72.1
2023-01-12 15:00:00+00:00;107.91;86.18;70.18;74.18;89.61
2023-01-12 16:00:00+00:00;130.0;120.28;102.18;110.0;114.14
2023-01-12 17:00:00+00:00;144.5;132.89;118.0;122.9;127.14
2023-01-12 18:00:00+00:00;130.0;141.43;131.44;116.44;135.79
2023-01-12 19:00:00+00:00;131.14;142.22;133.64;117.22;139.65
2023-01-12 20:00:00+00:00;86.0;114.74;85.15;85.92;97.6
2023-01-12 21:00:00+00:00;74.1;99.55;74.55;75.32;83.21
2023-01-12 22:00:00+00:00;40.41;61.31;49.77;47.0;48.75
2023-01-12 23:00:00+00:00;32.92;59.83;69.82;83.48;70.2
2023-01-13 00:00:00+00:00;17.2;45.0;62.19;83.48;59.36
2023-01-13 01:00:00+00:00;10.43;39.05;49.99;83.48;54.05
2023-01-13 02:00:00+00:00;2.65;39.0;43.0;54.99;36.14
2023-01-13 03:00:00+00:00;3.35;38.7;38.6;38.2;28.22
2023-01-13 04:00:00+00:00;25.7;39.0;39.1;39.0;43.95
2023-01-13 05:00:00+00:00;55.5;58.92;56.0;53.62;62.14
2023-01-13 06:00:00+00:00;88.65;91.0;89.9;89.8;91.25
2023-01-13 07:00:00+00:00;112.43;111.33;120.0;110.0;106.88
2023-01-13 08:00:00+00:00;107.07;106.03;107.1;106.04;106.69
2023-01-13 09:00:00+00:00;97.1;98.74;100.7;96.0;102.23
2023-01-13 10:00:00+00:00;89.03;89.67;100.0;95.17;97.31
2023-01-13 11:00:00+00:00;76.77;80.39;85.05;85.0;88.39
2023-01-13 12:00:00+00:00;70.24;72.33;84.51;83.14;79.87
2023-01-13 13:00:00+00:00;74.23;72.98;88.7;86.0;81.21
2023-01-13 14:00:00+00:00;80.6;73.0;91.14;80.0;80.09
2023-01-13 15:00:00+00:00;87.58;89.99;100.43;90.44;98.83
2023-01-13 16:00:00+00:00;141.83;112.98;113.13;110.0;122.11
2023-01-13 17:00:00+00:00;155.0;126.28;129.57;125.0;140.49
2023-01-13 18:00:00+00:00;144.2;149.0;161.33;151.0;163.07
2023-01-13 19:00:00+00:00;121.77;154.7;167.03;163.8;171.62
2023-01-13 20:00:00+00:00;125.4;138.69;152.59;140.51;148.92
2023-01-13 21:00:00+00:00;120.0;107.87;110.37;108.62;116.02
2023-01-13 22:00:00+00:00;97.29;101.44;103.0;103.0;103.33
2023-01-13 23:00:00+00:00;135.0;80.0;79.89;87.27;96.01
2023-01-14 00:00:00+00:00;117.2;73.5;73.87;81.57;88.34
2023-01-14 01:00:00+00:00;98.67;65.91;65.92;79.77;84.13
2023-01-14 02:00:00+00:00;57.45;61.95;54.95;68.31;76.26
2023-01-14 03:00:00+00:00;40.85;47.87;51.57;68.31;69.24
2023-01-14 04:00:00+00:00;41.02;45.95;51.27;67.5;71.67
2023-01-14 05:00:00+00:00;45.1;56.23;51.57;69.23;68.89
2023-01-14 06:00:00+00:00;54.9;58.22;59.39;69.23;72.84
2023-01-14 07:00:00+00:00;77.15;57.65;56.7;68.31;71.26
2023-01-14 08:00:00+00:00;100.1;65.27;61.0;69.0;72.33
2023-01-14 09:00:00+00:00;96.73;54.23;54.23;54.28;56.17
2023-01-14 10:00:00+00:00;99.2;47.0;51.57;68.31;64.6
2023-01-14 11:00:00+00:00;104.97;47.9;51.57;68.31;63.09
2023-01-14 12:00:00+00:00;93.86;46.0;51.27;56.37;55.75
2023-01-14 13:00:00+00:00;93.85;43.0;42.0;50.97;48.81
2023-01-14 14:00:00+00:00;100.0;36.5;35.0;50.97;39.3
2023-01-14 15:00:00+00:00;100.0;47.0;45.96;50.97;43.39
2023-01-14 16:00:00+00:00;134.26;57.23;54.25;54.27;47.08
2023-01-14 17:00:00+00:00;144.2;64.5;59.5;59.5;63.85
2023-01-14 18:00:00+00:00;127.0;69.77;64.0;63.0;70.29
2023-01-14 19:00:00+00:00;143.51;54.52;54.52;54.55;63.76
2023-01-14 20:00:00+00:00;99.37;45.0;50.67;50.0;50.27
2023-01-14 21:00:00+00:00;93.42;47.2;47.2;50.0;48.85
2023-01-14 22:00:00+00:00;69.1;36.0;37.3;47.4;33.9
2023-01-14 23:00:00+00:00;60.01;20.02;25.0;35.0;31.21
2023-01-15 00:00:00+00:00;29.4;2.09;12.6;17.08;14.36
2023-01-15 01:00:00+00:00;27.93;6.27;6.27;11.57;13.07
2023-01-15 02:00:00+00:00;6.94;0.0;0.0;0.05;6.11
2023-01-15 03:00:00+00:00;2.93;0.0;0.0;0.0;2.05
2023-01-15 04:00:00+00:00;4.05;0.0;0.0;0.54;4.63
2023-01-15 05:00:00+00:00;1.58;0.0;0.01;0.5;5.07
2023-01-15 06:00:00+00:00;1.81;0.0;1.0;5.0;3.59
2023-01-15 07:00:00+00:00;11.2;9.51;9.51;13.0;13.64
2023-01-15 08:00:00+00:00;37.4;20.02;19.92;29.23;20.96
2023-01-15 09:00:00+00:00;38.86;30.9;27.98;31.1;26.32
2023-01-15 10:00:00+00:00;74.9;24.41;19.33;24.61;23.34
2023-01-15 11:00:00+00:00;80.0;20.02;20.12;23.0;23.05
2023-01-15 12:00:00+00:00;65.01;20.02;21.94;25.04;20.27
2023-01-15 13:00:00+00:00;80.15;19.23;19.33;34.7;17.18
2023-01-15 14:00:00+00:00;86.02;10.0;15.0;20.0;14.67
2023-01-15 15:00:00+00:00;95.0;19.94;19.94;34.7;18.77
2023-01-15 16:00:00+00:00;139.64;30.0;25.5;34.7;28.41
2023-01-15 17:00:00+00:00;174.6;35.6;35.6;65.0;35.24
2023-01-15 18:00:00+00:00;197.7;39.0;40.0;60.0;40.02
2023-01-15 19:00:00+00:00;199.9;50.56;50.56;65.0;51.25
2023-01-15 20:00:00+00:00;168.34;37.15;41.28;41.28;41.1
2023-01-15 21:00:00+00:00;160.0;32.0;34.5;30.0;33.77
2023-01-15 22:00:00+00:00;133.0;23.0;19.33;19.33;21.42
2023-01-15 23:00:00+00:00;60.01;4.16;4.16;0.0;2.01
2023-01-16 00:00:00+00:00;60.01;4.16;4.16;4.16;2.88
2023-01-16 01:00:00+00:00;62.72;4.16;4.16;4.16;3.14
2023-01-16 02:00:00+00:00;56.1;4.16;4.16;4.16;2.69
2023-01-16 03:00:00+00:00;63.3;3.0;4.16;4.16;1.99
2023-01-16 04:00:00+00:00;87.0;4.16;4.16;4.16;3.17
2023-01-16 05:00:00+00:00;154.63;4.16;2.27;4.16;3.87
2023-01-16 06:00:00+00:00;175.11;12.0;10.7;10.7;12.95
2023-01-16 07:00:00+00:00;185.99;18.8;18.8;20.8;20.72
2023-01-16 08:00:00+00:00;170.0;19.81;21.5;20.8;24.24
2023-01-16 09:00:00+00:00;200.1;18.81;19.6;17.0;22.34
2023-01-16 10:00:00+00:00;165.6;14.0;3.1;9.99;13.24
2023-01-16 11:00:00+00:00;148.59;13.15;3.5;12.7;17.67
2023-01-16 12:00:00+00:00;145.47;15.0;12.0;15.0;17.0
