ID,Nombre
219,Generación programada PHF4 Ciclo combinado
220,Generación programada PHF4 Fuel
221,Generación programada PHF4 Gas Natural
222,Generación programada PHF4 Eólica terrestre
223,Generación programada PHF4 Eólica marina
224,Generación programada PHF4 Solar fotovoltaica
225,Generación programada PHF4 Solar térmica
226,Generación programada PHF4 Océano y geotérmica
227,Generación programada PHF4 Gas Natural Cogeneración
228,Generación programada PHF4 Derivados del petróleo ó carbón
229,Generación programada PHF4 Subproductos minería
230,Generación programada PHF4 Energía residual
231,Generación programada PHF4 Biomasa
232,Generación programada PHF4 Biogás
233,Generación programada PHF4 Residuos domésticos y similares
234,Generación programada PHF4 Residuos varios
235,Generación programada PHF4 Consumo bombeo
236,Generación programada PHF4 Enlace Baleares
237,Generación programada PHF4 Genéricas
238,Generación programada PHF4 Importación Francia
239,Generación programada PHF4 Importación Portugal
240,Generación programada PHF4 Importación Marruecos
241,Generación programada PHF4 Importación Andorra
242,Generación programada PHF4 Exportación Francia
243,Generación programada PHF4 Exportación Portugal
244,Generación programada PHF4 Exportación Marruecos
245,Generación programada PHF4 Exportación Andorra
246,Generación programada PHF5 Hidráulica UGH
247,Generación programada PHF5 Hidráulica no UGH
248,Generación programada PHF5 Turbinación bombeo
249,Generación programada PHF5 Nuclear
250,Generación programada PHF5 Hulla antracita Anexo II RD 134/2010
251,Generación programada PHF5 Hulla sub-bituminosa Anexo II RD 134/2010
252,Generación programada PHF5 Hulla antracita
253,Generación programada PHF5 Hulla sub-bituminosa
254,Generación programada PHF5 Ciclo combinado
255,Generación programada PHF5 Fuel
256,Generación programada PHF5 Gas Natural
257,Generación programada PHF5 Eólica terrestre
258,Generación programada PHF5 Eólica marina
259,Generación programada PHF5 Solar fotovoltaica
260,Generación programada PHF5 Solar térmica
261,Generación programada PHF5 Océano y geotérmica
262,Generación programada PHF5 Gas Natural Cogeneración
263,Generación programada PHF5 Derivados del petróleo ó carbón
264,Generación programada PHF5 Subproductos minería
265,Generación programada PHF5 Energía residual
266,Generación programada PHF5 Biomasa
267,Generación programada PHF5 Biogás
268,Generación programada PHF5 Residuos domésticos y similares
269,Generación programada PHF5 Residuos varios
270,Generación programada PHF5 Consumo bombeo
271,Generación programada PHF5 Enlace Baleares
272,Generación programada PHF5 Genéricas
273,Generación programada PHF5 Importación Francia
274,Generación programada PHF5 Importación Portugal
275,Generación programada PHF5 Importación Marruecos
276,Generación programada PHF5 Importación Andorra
277,Generación programada PHF5 Exportación Francia
278,Generación programada PHF5 Exportación Portugal
279,Generación programada PHF5 Exportación Marruecos
280,Generación programada PHF5 Exportación Andorra
281,Generación programada PHF6 Hidráulica UGH
282,Generación programada PHF6 Hidráulica no UGH
283,Generación programada PHF6 Turbinación bombeo
284,Generación programada PHF6 Nuclear
285,Generación programada PHF6 Hulla antracita Anexo II RD 134/2010
286,Generación programada PHF6 Hulla sub-bituminosa Anexo II RD 134/2010
287,Generación programada PHF6 Hulla antracita
288,Generación programada PHF6 Hulla sub-bituminosa
289,Generación programada PHF6 Ciclo combinado
290,Generación programada PHF6 Fuel
291,Generación programada PHF6 Gas Natural
292,Generación programada PHF6 Eólica terrestre
293,Generación programada PHF6 Eólica marina
294,Generación programada PHF6 Solar fotovoltaica
295,Generación programada PHF6 Solar térmica
296,Generación programada PHF6 Océano y geotérmica
297,Generación programada PHF6 Gas Natural Cogeneración
298,Generación programada PHF6 Derivados del petróleo ó carbón
299,Generación programada PHF6 Subproductos minería
300,Generación programada PHF6 Energía residual
301,Generación programada PHF6 Biomasa
302,Generación programada PHF6 Biogás
303,Generación programada PHF6 Residuos domésticos y similares
304,Generación programada PHF6 Residuos varios
305,Generación programada PHF6 Consumo bombeo
306,Generación programada PHF6 Enlace Baleares
307,Generación programada PHF6 Genéricas
308,Generación programada PHF6 Importación Francia
309,Generación programada PHF6 Importación Portugal
310,Generación programada PHF6 Importación Marruecos
311,Generación programada PHF6 Importación Andorra
312,Generación programada PHF6 Exportación Francia
313,Generación programada PHF6 Exportación Portugal
314,Generación programada PHF6 Exportación Marruecos
315,Generación programada PHF6 Exportación Andorra
316,Generación programada PHF7 Hidráulica UGH
317,Generación programada PHF7 Hidráulica no UGH
318,Generación programada PHF7 Turbinación bombeo
319,Generación programada PHF7 Nuclear
320,Generación programada PHF7 Hulla antracita Anexo II RD 134/2010
321,Generación programada PHF7 Hulla sub-bituminosa Anexo II RD 134/2010
322,Generación programada PHF7 Hulla antracita
323,Generación programada PHF7 Hulla sub-bituminosa
324,Generación programada PHF7 Ciclo combinado
325,Generación programada PHF7 Fuel
326,Generación programada PHF7 Gas Natural
327,Generación programada PHF7 Eólica terrestre
328,Generación programada PHF7 Eólica marina
329,Generación programada PHF7 Solar fotovoltaica
330,Generación programada PHF7 Solar térmica
331,Generación programada PHF7 Océano y geotérmica
332,Generación programada PHF7 Gas Natural Cogeneración
333,Generación programada PHF7 Derivados del petróleo ó carbón
334,Generación programada PHF7 Subproductos minería
335,Generación programada PHF7 Energía residual
336,Generación programada PHF7 Biomasa
337,Generación programada PHF7 Biogás
338,Generación programada PHF7 Residuos domésticos y similares
339,Generación programada PHF7 Residuos varios
340,Generación programada PHF7 Consumo bombeo
341,Generación programada PHF7 Enlace Baleares
342,Generación programada PHF7 Genéricas
343,Generación programada PHF7 Importación Francia
344,Generación programada PHF7 Importación Portugal
345,Generación programada PHF7 Importación Marruecos
346,Generación programada PHF7 Importación Andorra
347,Generación programada PHF7 Exportación Francia
348,Generación programada PHF7 Exportación Portugal
349,Generación programada PHF7 Exportación Marruecos
350,Generación programada PHF7 Exportación Andorra
351,Demanda programada PBF Comercializadores mercado libre
352,Demanda programada PBF Comercializadores de referencia
353,Demanda programada PBF Consumos directos en mercado
354,Demanda programada PBF Consumo de Servicios Auxiliares
355,Demanda programada PBF Corrección eólica
356,Demanda programada PBF Corrección solar
357,Demanda programada PBF Corrección REE
358,Demanda programada PVP Comercializadores mercado libre
359,Demanda programada PVP Comercializadores de referencia
360,Demanda programada PVP Consumos directos en mercado
361,Demanda programada PVP Consumo de Servicios Auxiliares
362,Demanda programada PVP Corrección eólica
363,Demanda programada PVP Corrección solar
364,Demanda programada PVP Corrección REE
365,Demanda programada P48 Comercializadores mercado libre
366,Demanda programada P48 Comercializadores de referencia
367,Demanda programada P48 Consumos directos en mercado
